[0328/101317.207:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0328/111728.851:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0328/235756.882:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0328/235759.688:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0328/235928.639:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0328/235928.921:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0328/235932.942:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0328/235933.028:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0328/235933.647:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0328/235933.932:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0328/235937.150:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0329/000752.588:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0329/102408.416:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
